Gene,Description
Dbt,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dbt PE=1 SV=2"
Dcaf1,DDB1- and CUL4-associated factor 1 OS=Mus musculus OX=10090 GN=Dcaf1 PE=1 SV=4
Dcaf11,DDB1- and CUL4-associated factor 11 OS=Mus musculus OX=10090 GN=Dcaf11 PE=1 SV=1
Dcaf13,DDB1- and CUL4-associated factor 13 OS=Mus musculus OX=10090 GN=Dcaf13 PE=2 SV=2
Dcaf5,DDB1- and CUL4-associated factor 5 OS=Mus musculus OX=10090 GN=Dcaf5 PE=1 SV=2
Dcaf6,DDB1- and CUL4-associated factor 6 OS=Mus musculus OX=10090 GN=Dcaf6 PE=1 SV=1
Dcaf7,DDB1- and CUL4-associated factor 7 OS=Mus musculus GN=Dcaf7 PE=2 SV=1
Dcaf8,DDB1- and CUL4-associated factor 8 OS=Mus musculus OX=10090 GN=Dcaf8 PE=1 SV=1
Dcakd,Dephospho-CoA kinase domain-containing protein OS=Mus musculus GN=Dcakd PE=1 SV=1
Dcbld2,"Discoidin, CUB and LCCL domain-containing protein 2 OS=Mus musculus OX=10090 GN=Dcbld2 PE=1 SV=1"
Dcc,Netrin receptor DCC OS=Mus musculus GN=Dcc PE=1 SV=1
Dcdc2,Doublecortin domain-containing protein 2 OS=Mus musculus OX=10090 GN=Dcdc2 PE=1 SV=2
Dchs1,Protocadherin-16 OS=Mus musculus OX=10090 GN=Dchs1 PE=1 SV=1
Dclk1,Serine/threonine-protein kinase DCLK1 OS=Mus musculus GN=Dclk1 PE=1 SV=1
Dclk2,Serine/threonine-protein kinase DCLK2 OS=Mus musculus GN=Dclk2 PE=1 SV=1
Dclk3,Serine/threonine-protein kinase DCLK3 OS=Mus musculus GN=Dclk3 PE=2 SV=2
Dcn,Decorin OS=Mus musculus OX=10090 GN=Dcn PE=1 SV=1
Dcp1a,mRNA-decapping enzyme 1A OS=Mus musculus OX=10090 GN=Dcp1a PE=1 SV=1
Dcp1b,mRNA-decapping enzyme 1B OS=Mus musculus OX=10090 GN=Dcp1b PE=1 SV=1
Dcp2,m7GpppN-mRNA hydrolase OS=Mus musculus OX=10090 GN=Dcp2 PE=1 SV=2
Dcps,m7GpppX diphosphatase OS=Mus musculus GN=Dcps PE=1 SV=1
Dct,L-dopachrome tautomerase OS=Mus musculus GN=Dct PE=1 SV=2
Dctd,Deoxycytidylate deaminase OS=Mus musculus GN=Dctd PE=2 SV=1
Dctn1,Dynactin subunit 1 OS=Mus musculus GN=Dctn1 PE=1 SV=2
Dctn2,Dynactin subunit 2 OS=Mus musculus GN=Dctn2 PE=1 SV=3
Dctn3,Dynactin subunit 3 OS=Mus musculus GN=Dctn3 PE=1 SV=2
Dctn4,Dynactin subunit 4 OS=Mus musculus GN=Dctn4 PE=1 SV=1
Dctn5,Dynactin subunit 5 OS=Mus musculus GN=Dctn5 PE=1 SV=1
Dctn6,Dynactin subunit 6 OS=Mus musculus GN=Dctn6 PE=1 SV=1
Dcun1d1,DCN1-like protein 1 OS=Mus musculus GN=Dcun1d1 PE=1 SV=1
Dcun1d2,DCN1-like protein 2 OS=Mus musculus OX=10090 GN=Dcun1d2 PE=1 SV=3
Dcun1d3,DCN1-like protein 3 OS=Mus musculus GN=Dcun1d3 PE=2 SV=1
Dcun1d4,DCN1-like protein 4 OS=Mus musculus OX=10090 GN=Dcun1d4 PE=2 SV=1
Dcun1d5,DCN1-like protein 5 OS=Mus musculus OX=10090 GN=Dcun1d5 PE=1 SV=1
Dcx,Neuronal migration protein doublecortin OS=Mus musculus GN=Dcx PE=1 SV=1
Dcxr,L-xylulose reductase OS=Mus musculus OX=10090 GN=Dcxr PE=1 SV=2
Dda1,DET1- and DDB1-associated protein 1 OS=Mus musculus OX=10090 GN=Dda1 PE=1 SV=1
Ddah1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Mus musculus GN=Ddah1 PE=1 SV=3"
Ddah2,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Mus musculus GN=Ddah2 PE=1 SV=1"
Ddb1,DNA damage-binding protein 1 OS=Mus musculus GN=Ddb1 PE=1 SV=2
Ddc,Aromatic-L-amino-acid decarboxylase OS=Mus musculus GN=Ddc PE=1 SV=1
Ddhd1,Phospholipase DDHD1 OS=Mus musculus GN=Ddhd1 PE=2 SV=1
Ddhd2,Phospholipase DDHD2 OS=Mus musculus GN=Ddhd2 PE=1 SV=3
Ddi1,Protein DDI1 homolog 1 OS=Mus musculus OX=10090 GN=Ddi1 PE=1 SV=1
Ddi2,Protein DDI1 homolog 2 OS=Mus musculus GN=Ddi2 PE=1 SV=1
Ddn,Dendrin OS=Mus musculus GN=Ddn PE=1 SV=3
Ddo,D-aspartate oxidase OS=Mus musculus OX=10090 GN=Ddo PE=1 SV=1
Ddost,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Mus musculus GN=Ddost PE=1 SV=2
Ddr1,Epithelial discoidin domain-containing receptor 1 OS=Mus musculus OX=10090 GN=Ddr1 PE=2 SV=2
Ddrgk1,DDRGK domain-containing protein 1 OS=Mus musculus GN=Ddrgk1 PE=1 SV=2
Ddt,D-dopachrome decarboxylase OS=Mus musculus GN=Ddt PE=1 SV=3
Ddx1,ATP-dependent RNA helicase DDX1 OS=Mus musculus GN=Ddx1 PE=1 SV=1
Ddx10,Probable ATP-dependent RNA helicase DDX10 OS=Mus musculus OX=10090 GN=Ddx10 PE=1 SV=2
Ddx17,Probable ATP-dependent RNA helicase DDX17 OS=Mus musculus GN=Ddx17 PE=1 SV=1
Ddx18,ATP-dependent RNA helicase DDX18 OS=Mus musculus OX=10090 GN=Ddx18 PE=1 SV=1
Ddx19a,ATP-dependent RNA helicase DDX19A OS=Mus musculus GN=Ddx19a PE=1 SV=1
Ddx20,Probable ATP-dependent RNA helicase DDX20 OS=Mus musculus OX=10090 GN=Ddx20 PE=1 SV=2
Ddx21,Nucleolar RNA helicase 2 OS=Mus musculus OX=10090 GN=Ddx21 PE=1 SV=3
Ddx24,ATP-dependent RNA helicase DDX24 OS=Mus musculus GN=Ddx24 PE=1 SV=1
Ddx25,ATP-dependent RNA helicase DDX25 OS=Mus musculus GN=Ddx25 PE=1 SV=2
Ddx27,Probable ATP-dependent RNA helicase DDX27 OS=Mus musculus OX=10090 GN=Ddx27 PE=1 SV=3
Ddx28,Probable ATP-dependent RNA helicase DDX28 OS=Mus musculus OX=10090 GN=Ddx28 PE=2 SV=2
Ddx31,Probable ATP-dependent RNA helicase DDX31 OS=Mus musculus OX=10090 GN=Ddx31 PE=2 SV=2
Ddx39a,ATP-dependent RNA helicase DDX39A OS=Mus musculus GN=Ddx39a PE=2 SV=1
Ddx39b,Spliceosome RNA helicase Ddx39b OS=Mus musculus GN=Ddx39b PE=1 SV=1
Ddx3x,ATP-dependent RNA helicase DDX3X OS=Mus musculus GN=Ddx3x PE=1 SV=3
Ddx3y,ATP-dependent RNA helicase DDX3Y OS=Mus musculus GN=Ddx3y PE=1 SV=2
Ddx4,ATP-dependent RNA helicase DDX4 OS=Mus musculus OX=10090 GN=Ddx4 PE=1 SV=2
Ddx41,Probable ATP-dependent RNA helicase DDX41 OS=Mus musculus OX=10090 GN=Ddx41 PE=1 SV=2
Ddx42,ATP-dependent RNA helicase DDX42 OS=Mus musculus GN=Ddx42 PE=1 SV=3
Ddx46,Probable ATP-dependent RNA helicase DDX46 OS=Mus musculus GN=Ddx46 PE=1 SV=2
Ddx47,Probable ATP-dependent RNA helicase DDX47 OS=Mus musculus OX=10090 GN=Ddx47 PE=2 SV=2
Ddx49,Probable ATP-dependent RNA helicase DDX49 OS=Mus musculus OX=10090 GN=Ddx49 PE=2 SV=1
Ddx5,Probable ATP-dependent RNA helicase DDX5 OS=Mus musculus GN=Ddx5 PE=1 SV=2
Ddx50,ATP-dependent RNA helicase DDX50 OS=Mus musculus GN=Ddx50 PE=2 SV=1
Ddx54,ATP-dependent RNA helicase DDX54 OS=Mus musculus OX=10090 GN=Ddx54 PE=1 SV=1
Ddx55,ATP-dependent RNA helicase DDX55 OS=Mus musculus OX=10090 GN=Ddx55 PE=1 SV=2
Ddx56,Probable ATP-dependent RNA helicase DDX56 OS=Mus musculus OX=10090 GN=Ddx56 PE=2 SV=1
Ddx58,Probable ATP-dependent RNA helicase DDX58 OS=Mus musculus OX=10090 GN=Ddx58 PE=1 SV=2
Ddx59,Probable ATP-dependent RNA helicase DDX59 OS=Mus musculus OX=10090 GN=Ddx59 PE=1 SV=1
Ddx6,Probable ATP-dependent RNA helicase DDX6 OS=Mus musculus GN=Ddx6 PE=1 SV=1
Decr1,"2,4-dienoyl-CoA reductase, mitochondrial OS=Mus musculus GN=Decr1 PE=1 SV=1"
Decr2,"Peroxisomal 2,4-dienoyl-CoA reductase OS=Mus musculus OX=10090 GN=Decr2 PE=1 SV=1"
Def6,Differentially expressed in FDCP 6 OS=Mus musculus OX=10090 GN=Def6 PE=1 SV=1
Def8,Differentially expressed in FDCP 8 OS=Mus musculus OX=10090 GN=Def8 PE=1 SV=1
Degs1,Sphingolipid delta(4)-desaturase DES1 OS=Mus musculus GN=Degs1 PE=1 SV=1
Dek,Protein DEK OS=Mus musculus OX=10090 GN=Dek PE=1 SV=1
Dennd10,DENN domain-containing protein 10 OS=Mus musculus OX=10090 GN=Dennd10 PE=1 SV=2
Dennd11,DENN domain-containing protein 11 OS=Mus musculus OX=10090 GN=Dennd11 PE=2 SV=1
Dennd1a,DENN domain-containing protein 1A OS=Mus musculus OX=10090 GN=Dennd1a PE=1 SV=2
Dennd3,DENN domain-containing protein 3 OS=Mus musculus OX=10090 GN=Dennd3 PE=1 SV=2
Dennd4b,DENN domain-containing protein 4B OS=Mus musculus GN=Dennd4b PE=1 SV=2
Dennd4c,DENN domain-containing protein 4C OS=Mus musculus OX=10090 GN=Dennd4c PE=1 SV=1
Dennd5a,DENN domain-containing protein 5A OS=Mus musculus GN=Dennd5a PE=1 SV=1
Dennd5b,DENN domain-containing protein 5B OS=Mus musculus GN=Dennd5b PE=2 SV=2
Dennd6a,Protein DENND6A OS=Mus musculus OX=10090 GN=Dennd6a PE=1 SV=1
Dennd6b,Protein DENND6B OS=Mus musculus OX=10090 GN=Dennd6b PE=2 SV=3
Denr,Density-regulated protein OS=Mus musculus GN=Denr PE=1 SV=1
Depdc1a,DEP domain-containing protein 1A OS=Mus musculus GN=Depdc1a PE=1 SV=1
Depdc5,GATOR complex protein DEPDC5 OS=Mus musculus OX=10090 GN=Depdc5 PE=1 SV=2
Deptor,DEP domain-containing mTOR-interacting protein OS=Mus musculus OX=10090 GN=Deptor PE=1 SV=2
Derl1,Derlin-1 OS=Mus musculus GN=Derl1 PE=1 SV=1
Derl2,Derlin-2 OS=Mus musculus OX=10090 GN=Derl2 PE=1 SV=2
Derl3,Derlin-3 OS=Mus musculus OX=10090 GN=Derl3 PE=1 SV=1
Derpc,Decreased expression in renal and prostate cancer protein OS=Mus musculus OX=10090 GN=Derpc PE=1 SV=1
Des,Desmin OS=Mus musculus GN=Des PE=1 SV=3
Desi1,Desumoylating isopeptidase 1 OS=Mus musculus OX=10090 GN=Desi1 PE=1 SV=1
Dffa,DNA fragmentation factor subunit alpha OS=Mus musculus OX=10090 GN=Dffa PE=1 SV=2
Dfna5,Non-syndromic hearing impairment protein 5 homolog OS=Mus musculus GN=Dfna5 PE=1 SV=1
Dgat1,Diacylglycerol O-acyltransferase 1 OS=Mus musculus OX=10090 GN=Dgat1 PE=1 SV=1
Dgat2,Diacylglycerol O-acyltransferase 2 OS=Mus musculus OX=10090 GN=Dgat2 PE=1 SV=1
Dgcr2,Integral membrane protein DGCR2/IDD OS=Mus musculus OX=10090 GN=Dgcr2 PE=2 SV=1
Dgcr8,Microprocessor complex subunit DGCR8 OS=Mus musculus OX=10090 GN=Dgcr8 PE=1 SV=2
Dgka,Diacylglycerol kinase alpha OS=Mus musculus OX=10090 GN=Dgka PE=1 SV=2
Dgkb,Diacylglycerol kinase beta OS=Mus musculus GN=Dgkb PE=1 SV=2
Dgkd,Diacylglycerol kinase delta OS=Mus musculus OX=10090 GN=Dgkd PE=1 SV=1
Dgke,Diacylglycerol kinase epsilon OS=Mus musculus GN=Dgke PE=1 SV=1
Dgkg,Diacylglycerol kinase gamma OS=Mus musculus GN=Dgkg PE=1 SV=1
Dgki,Diacylglycerol kinase iota OS=Mus musculus OX=10090 GN=Dgki PE=1 SV=1
Dgkq,Diacylglycerol kinase theta OS=Mus musculus GN=Dgkq PE=1 SV=1
Dgkz,Diacylglycerol kinase zeta OS=Mus musculus GN=Dgkz PE=1 SV=2
Dglucy,"D-glutamate cyclase, mitochondrial OS=Mus musculus OX=10090 GN=Dglucy PE=1 SV=1"
Dguok,"Deoxyguanosine kinase, mitochondrial OS=Mus musculus OX=10090 GN=Dguok PE=1 SV=3"
Dhcr24,Delta(24)-sterol reductase OS=Mus musculus OX=10090 GN=Dhcr24 PE=1 SV=1
Dhcr7,7-dehydrocholesterol reductase OS=Mus musculus GN=Dhcr7 PE=1 SV=1
Dhdh,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase OS=Mus musculus GN=Dhdh PE=1 SV=1"
Dhfr,Dihydrofolate reductase OS=Mus musculus OX=10090 GN=Dhfr PE=1 SV=3
Dhodh,"Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Mus musculus GN=Dhodh PE=1 SV=2"
Dhps,Deoxyhypusine synthase OS=Mus musculus OX=10090 GN=Dhps PE=1 SV=2
Dhrs1,Dehydrogenase/reductase SDR family member 1 OS=Mus musculus GN=Dhrs1 PE=1 SV=1
Dhrs11,Dehydrogenase/reductase SDR family member 11 OS=Mus musculus OX=10090 GN=Dhrs11 PE=1 SV=1
Dhrs13,Dehydrogenase/reductase SDR family member 13 OS=Mus musculus GN=Dhrs13 PE=1 SV=1
Dhrs3,Short-chain dehydrogenase/reductase 3 OS=Mus musculus OX=10090 GN=Dhrs3 PE=1 SV=2
Dhrs4,Dehydrogenase/reductase SDR family member 4 OS=Mus musculus GN=Dhrs4 PE=1 SV=3
Dhrs7,Dehydrogenase/reductase SDR family member 7 OS=Mus musculus OX=10090 GN=Dhrs7 PE=1 SV=2
Dhrs7b,Dehydrogenase/reductase SDR family member 7B OS=Mus musculus GN=Dhrs7b PE=1 SV=1
Dhrsx,Dehydrogenase/reductase SDR family member on chromosome X homolog OS=Mus musculus OX=10090 GN=Dhrsx PE=1 SV=2
Dhx15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Mus musculus GN=Dhx15 PE=1 SV=2
Dhx29,ATP-dependent RNA helicase Dhx29 OS=Mus musculus GN=Dhx29 PE=2 SV=1
Dhx30,ATP-dependent RNA helicase DHX30 OS=Mus musculus OX=10090 GN=Dhx30 PE=1 SV=1
Dhx32,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32 OS=Mus musculus OX=10090 GN=Dhx32 PE=1 SV=2
Dhx33,ATP-dependent RNA helicase DHX33 OS=Mus musculus OX=10090 GN=Dhx33 PE=1 SV=1
Dhx34,Probable ATP-dependent RNA helicase DHX34 OS=Mus musculus OX=10090 GN=Dhx34 PE=1 SV=2
Dhx36,ATP-dependent DNA/RNA helicase DHX36 OS=Mus musculus OX=10090 GN=Dhx36 PE=1 SV=2
Dhx40,Probable ATP-dependent RNA helicase DHX40 OS=Mus musculus OX=10090 GN=Dhx40 PE=1 SV=1
Dhx57,Putative ATP-dependent RNA helicase DHX57 OS=Mus musculus GN=Dhx57 PE=1 SV=2
Dhx58,Probable ATP-dependent RNA helicase DHX58 OS=Mus musculus GN=Dhx58 PE=2 SV=1
Dhx8,ATP-dependent RNA helicase DHX8 OS=Mus musculus OX=10090 GN=Dhx8 PE=2 SV=1
Dhx9,ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9 PE=1 SV=2
Diablo,"Diablo homolog, mitochondrial OS=Mus musculus OX=10090 GN=Diablo PE=1 SV=2"
Diaph1,Protein diaphanous homolog 1 OS=Mus musculus GN=Diaph1 PE=1 SV=1
Diaph2,Protein diaphanous homolog 2 OS=Mus musculus GN=Diaph2 PE=1 SV=2
Diaph3,Protein diaphanous homolog 3 OS=Mus musculus OX=10090 GN=Diaph3 PE=1 SV=1
Dicer1,Endoribonuclease Dicer OS=Mus musculus OX=10090 GN=Dicer1 PE=1 SV=3
Dido1,Death-inducer obliterator 1 OS=Mus musculus OX=10090 GN=Dido1 PE=1 SV=4
Diexf,Digestive organ expansion factor homolog OS=Mus musculus OX=10090 GN=Diexf PE=2 SV=2
Dimt1,Probable dimethyladenosine transferase OS=Mus musculus OX=10090 GN=Dimt1 PE=2 SV=1
Dip2a,Disco-interacting protein 2 homolog A OS=Mus musculus GN=Dip2a PE=1 SV=3
Dip2b,Disco-interacting protein 2 homolog B OS=Mus musculus GN=Dip2b PE=1 SV=1
Dipk1a,Divergent protein kinase domain 1A OS=Mus musculus OX=10090 GN=Dipk1a PE=2 SV=1
Dipk1b,Divergent protein kinase domain 1B OS=Mus musculus OX=10090 GN=Dipk1b PE=1 SV=1
Dipk2a,Divergent protein kinase domain 2A OS=Mus musculus OX=10090 GN=Dipk2a PE=1 SV=2
Diras1,GTP-binding protein Di-Ras1 OS=Mus musculus GN=Diras1 PE=1 SV=1
Diras2,GTP-binding protein Di-Ras2 OS=Mus musculus GN=Diras2 PE=1 SV=1
Dis3,Exosome complex exonuclease RRP44 OS=Mus musculus GN=Dis3 PE=2 SV=4
Dis3l,DIS3-like exonuclease 1 OS=Mus musculus OX=10090 GN=Dis3l PE=1 SV=2
Dis3l2,DIS3-like exonuclease 2 OS=Mus musculus GN=Dis3l2 PE=1 SV=1
Disp2,Protein dispatched homolog 2 OS=Mus musculus OX=10090 GN=Disp2 PE=1 SV=1
Disp3,Protein dispatched homolog 3 OS=Mus musculus OX=10090 GN=Disp3 PE=2 SV=1
Dixdc1,Dixin OS=Mus musculus OX=10090 GN=Dixdc1 PE=1 SV=1
Dkc1,H/ACA ribonucleoprotein complex subunit 4 OS=Mus musculus GN=Dkc1 PE=1 SV=3
Dkk3,Dickkopf-related protein 3 OS=Mus musculus GN=Dkk3 PE=2 SV=1
Dlat,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2"
Dlc1,Rho GTPase-activating protein 7 OS=Mus musculus OX=10090 GN=Dlc1 PE=1 SV=2
Dld,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2"
Dlg1,Disks large homolog 1 OS=Mus musculus GN=Dlg1 PE=1 SV=1
Dlg2,Disks large homolog 2 OS=Mus musculus GN=Dlg2 PE=1 SV=1
Dlg3,Disks large homolog 3 OS=Mus musculus GN=Dlg3 PE=1 SV=1
Dlg4,Disks large homolog 2 OS=Mus musculus OX=10090 GN=Dlg2 PE=1 SV=2;Disks large homolog 4 OS=Mus musculus OX=10090 GN=Dlg4 PE=1 SV=1
Dlg5,Disks large homolog 5 OS=Mus musculus OX=10090 GN=Dlg5 PE=1 SV=1
Dlgap1,Disks large-associated protein 1 OS=Mus musculus GN=Dlgap1 PE=1 SV=3
Dlgap2,Disks large-associated protein 2 OS=Mus musculus GN=Dlgap2 PE=1 SV=2
Dlgap3,Disks large-associated protein 3 OS=Mus musculus GN=Dlgap3 PE=1 SV=1
Dlgap4,Disks large-associated protein 4 OS=Mus musculus GN=Dlgap4 PE=1 SV=1
Dlst,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1"
Dmac1,Distal membrane-arm assembly complex protein 1 OS=Mus musculus OX=10090 GN=Dmac1 PE=1 SV=1
Dmac2,Distal membrane-arm assembly complex protein 2 OS=Mus musculus OX=10090 GN=Dmac2 PE=1 SV=1
Dmac2l,"ATP synthase subunit s, mitochondrial OS=Mus musculus OX=10090 GN=Dmac2l PE=1 SV=1"
Dmap1,DNA methyltransferase 1-associated protein 1 OS=Mus musculus OX=10090 GN=Dmap1 PE=1 SV=1
Dmd,Dystrophin OS=Mus musculus GN=Dmd PE=1 SV=3
Dmtn,Dematin OS=Mus musculus GN=Dmtn PE=1 SV=1
Dmwd,Dystrophia myotonica WD repeat-containing protein OS=Mus musculus GN=Dmwd PE=1 SV=3
Dmxl1,DmX-like protein 1 OS=Mus musculus GN=Dmxl1 PE=1 SV=1
Dmxl2,DmX-like protein 2 OS=Mus musculus GN=Dmxl2 PE=1 SV=3
Dna2,DNA replication ATP-dependent helicase/nuclease DNA2 OS=Mus musculus OX=10090 GN=Dna2 PE=1 SV=2
Dnaaf5,"Dynein assembly factor 5, axonemal OS=Mus musculus OX=10090 GN=Dnaaf5 PE=1 SV=1"
Dnah1,"Dynein heavy chain 1, axonemal OS=Mus musculus OX=10090 GN=Dnah1 PE=1 SV=1"
Dnah12,"Dynein heavy chain 12, axonemal OS=Mus musculus OX=10090 GN=Dnah12 PE=1 SV=2"
Dnah17,"Dynein heavy chain 17, axonemal OS=Mus musculus GN=Dnah17 PE=2 SV=2"
Dnah2,"Dynein heavy chain 2, axonemal OS=Mus musculus OX=10090 GN=Dnah2 PE=1 SV=1"
Dnah3,"Dynein heavy chain 3, axonemal OS=Mus musculus OX=10090 GN=Dnah3 PE=1 SV=2"
Dnah5,"Dynein heavy chain 5, axonemal OS=Mus musculus OX=10090 GN=Dnah5 PE=1 SV=2"
Dnah8,"Dynein heavy chain 8, axonemal OS=Mus musculus OX=10090 GN=Dnah8 PE=1 SV=2"
Dnaja1,DnaJ homolog subfamily A member 1 OS=Mus musculus GN=Dnaja1 PE=1 SV=1
Dnaja2,DnaJ homolog subfamily A member 2 OS=Mus musculus GN=Dnaja2 PE=1 SV=1
Dnaja3,"DnaJ homolog subfamily A member 3, mitochondrial OS=Mus musculus GN=Dnaja3 PE=1 SV=1"
Dnaja4,DnaJ homolog subfamily A member 4 OS=Mus musculus GN=Dnaja4 PE=1 SV=1
Dnajb1,DnaJ homolog subfamily B member 1 OS=Mus musculus GN=Dnajb1 PE=1 SV=3
Dnajb11,DnaJ homolog subfamily B member 11 OS=Mus musculus GN=Dnajb11 PE=1 SV=1
Dnajb12,DnaJ homolog subfamily B member 12 OS=Mus musculus OX=10090 GN=Dnajb12 PE=1 SV=2
Dnajb14,DnaJ homolog subfamily B member 14 OS=Mus musculus OX=10090 GN=Dnajb14 PE=2 SV=1
Dnajb2,DnaJ homolog subfamily B member 2 OS=Mus musculus GN=Dnajb2 PE=1 SV=3
Dnajb4,DnaJ homolog subfamily B member 4 OS=Mus musculus GN=Dnajb4 PE=1 SV=1
Dnajb5,DnaJ homolog subfamily B member 5 OS=Mus musculus GN=Dnajb5 PE=2 SV=1
Dnajb6,DnaJ homolog subfamily B member 6 OS=Mus musculus GN=Dnajb6 PE=1 SV=4
Dnajb7,DnaJ homolog subfamily B member 7 OS=Mus musculus OX=10090 GN=Dnajb7 PE=2 SV=2
Dnajc1,DnaJ homolog subfamily C member 1 OS=Mus musculus OX=10090 GN=Dnajc1 PE=1 SV=1
Dnajc10,DnaJ homolog subfamily C member 10 OS=Mus musculus GN=Dnajc10 PE=1 SV=1
Dnajc11,DnaJ homolog subfamily C member 11 OS=Mus musculus GN=Dnajc11 PE=1 SV=2
Dnajc14,DnaJ homolog subfamily C member 14 OS=Mus musculus OX=10090 GN=Dnajc14 PE=2 SV=2
Dnajc15,DnaJ homolog subfamily C member 15 OS=Mus musculus OX=10090 GN=Dnajc15 PE=1 SV=1
Dnajc16,DnaJ homolog subfamily C member 16 OS=Mus musculus GN=Dnajc16 PE=1 SV=2
Dnajc17,DnaJ homolog subfamily C member 17 OS=Mus musculus OX=10090 GN=Dnajc17 PE=1 SV=2
Dnajc18,DnaJ homolog subfamily C member 18 OS=Mus musculus OX=10090 GN=Dnajc18 PE=2 SV=1
Dnajc19,Mitochondrial import inner membrane translocase subunit TIM14 OS=Mus musculus GN=Dnajc19 PE=1 SV=3
Dnajc2,DnaJ homolog subfamily C member 2 OS=Mus musculus OX=10090 GN=Dnajc2 PE=1 SV=2
Dnajc24,DnaJ homolog subfamily C member 24 OS=Mus musculus OX=10090 GN=Dnajc24 PE=1 SV=4
Dnajc27,DnaJ homolog subfamily C member 27 OS=Mus musculus OX=10090 GN=Dnajc27 PE=1 SV=1
Dnajc28,DnaJ homolog subfamily C member 28 OS=Mus musculus OX=10090 GN=Dnajc28 PE=1 SV=2
Dnajc3,DnaJ homolog subfamily C member 3 OS=Mus musculus GN=Dnajc3 PE=1 SV=1
Dnajc30,"DnaJ homolog subfamily C member 30, mitochondrial OS=Mus musculus OX=10090 GN=Dnajc30 PE=1 SV=1"
Dnajc4,DnaJ homolog subfamily C member 4 OS=Mus musculus OX=10090 GN=Dnajc4 PE=2 SV=2
Dnajc5,DnaJ homolog subfamily C member 5 OS=Mus musculus GN=Dnajc5 PE=1 SV=1
Dnajc6,Putative tyrosine-protein phosphatase auxilin OS=Mus musculus GN=Dnajc6 PE=1 SV=2
Dnajc7,DnaJ homolog subfamily C member 7 OS=Mus musculus GN=Dnajc7 PE=1 SV=2
Dnajc8,DnaJ homolog subfamily C member 8 OS=Mus musculus OX=10090 GN=Dnajc8 PE=1 SV=2
Dnajc9,DnaJ homolog subfamily C member 9 OS=Mus musculus OX=10090 GN=Dnajc9 PE=1 SV=2
Dnal1,"Dynein light chain 1, axonemal OS=Mus musculus GN=Dnal1 PE=1 SV=2"
Dnal4,"Dynein light chain 4, axonemal OS=Mus musculus OX=10090 GN=Dnal4 PE=3 SV=2"
Dner,Delta and Notch-like epidermal growth factor-related receptor OS=Mus musculus GN=Dner PE=1 SV=1
Dnlz,DNL-type zinc finger protein OS=Mus musculus OX=10090 GN=Dnlz PE=1 SV=1
Dnm1,Dynamin-1 OS=Mus musculus GN=Dnm1 PE=1 SV=2
Dnm1l,Dynamin-1-like protein OS=Mus musculus GN=Dnm1l PE=1 SV=2
Dnm2,Dynamin-1 OS=Mus musculus OX=10090 GN=Dnm1 PE=1 SV=2;Dynamin-2 OS=Mus musculus OX=10090 GN=Dnm2 PE=1 SV=2
Dnm3,Dynamin-1 OS=Mus musculus OX=10090 GN=Dnm1 PE=1 SV=2;Dynamin-2 OS=Mus musculus OX=10090 GN=Dnm2 PE=1 SV=2;Dynamin-3 OS=Mus musculus OX=10090 GN=Dnm3 PE=1 SV=1
Dnmbp,Dynamin-binding protein OS=Mus musculus OX=10090 GN=Dnmbp PE=1 SV=2
Dnmt1,DNA (cytosine-5)-methyltransferase 1 OS=Mus musculus GN=Dnmt1 PE=1 SV=5
Dnmt3a,DNA (cytosine-5)-methyltransferase 3A OS=Mus musculus GN=Dnmt3a PE=1 SV=2
Dnmt3c,DNA (cytosine-5)-methyltransferase 3C OS=Mus musculus OX=10090 GN=Dnmt3c PE=1 SV=2
Dnpep,Aspartyl aminopeptidase OS=Mus musculus GN=Dnpep PE=1 SV=2
Dnph1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Mus musculus OX=10090 GN=Dnph1 PE=1 SV=2
Dnttip1,Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Mus musculus OX=10090 GN=Dnttip1 PE=1 SV=1
Dnttip2,Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Mus musculus OX=10090 GN=Dnttip2 PE=1 SV=1
Doc2a,Double C2-like domain-containing protein alpha OS=Mus musculus GN=Doc2a PE=2 SV=1
Doc2b,Double C2-like domain-containing protein beta OS=Mus musculus OX=10090 GN=Doc2b PE=1 SV=2
